layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
3,Embedding,0.07544213824459878,256,10000,39.0625,0.3678166470158232,2.196457822277168,5.993344010887258,5.470226554027941,2.8684541145378377,0.804579388887089,True,535.3534545898438,embedding,6.0056176008868585,3.276977203145008,2.72864060948536,word_emb.emb_layers.0,256,9.927619,0.010217971897125247,1892.2442889213562,256,23,34,0.3678149952759281,9.95187059427932,5.218519538736244,0.35795331432506405,1.0024428963661196,0,1.0002851045263672,0,1,0.24947870175612735,0.741610804742995,535.3534545898438,3.5345700540423004,success,23.137706756591797,1.68929922580719,,0,525.4810829162598,0.018440847983595462,535.3534545898438,7.20831823348999
9,Linear,0.03844523860967064,120,256,2.1333333333333333,2.5224338981037895,2.6408452691824484,0.9559294757079994,0.313147207612636,0.010972469636794328,0.8762806203264669,True,2.301328420639038,dense,1.1124378687490197,1.275541657827283,0.3619786008908941,layers.0.dec_attn.qkv_net,120,0.4236647,0.13607236794376376,18.859998672269285,120,38,10,2.522435191891969,0.4373925009047815,0.015325941981497617,0.18686945915746284,1.0324024768755786,0,0.990250733614161,0,1,0.26618025142246543,0.8378833402277883,2.301328420639038,8.195266048568678,success,1.5170129537582397,0.10808492451906204,,0,1.8468128442764282,0.19750139627459123,2.301328420639038,0.14841336011886597
12,Linear,0.0701202393624972,256,1024,4.0,1.2321866020222147,3.076439951401888,4.4235166721264925,1.0703310262409476,0.1189256695823275,0.8799753636776657,True,27.407453536987305,dense,4.440371062093668,2.2268870008045583,1.4378686865351495,layers.0.dec_attn.o_net,256,1.4502823,0.03905255279541015,168.61142577975988,256,113,12,1.2321741898928058,1.4881141716821589,0.16534601907579544,0.2540488066704298,1.026085904026031,0,1.0020721096412237,0,1,0.19533503942291786,0.8498539172622868,27.407453536987305,6.1520281536631245,success,5.235212802886963,0.3454705476760864,,0,25.904471158981323,0.05483845392559564,27.407453536987305,0.48508220911026
14,Linear,0.09500415731154155,40,256,6.4,2.847323723556456,3.706722497676497,-0.5222662586596374,0.20738035698907858,0.03895326380382628,0.9408211432492017,True,0.7229411602020264,dense,-0.4891453238484158,0.6931862980865757,-0.14089704826487878,layers.0.dec_attn.r_net,40,0.24200484,0.2868564807281494,4.933854047209024,40,19,2,2.8473226356989247,0.2405889252294669,0.04519099112765057,0.12467569418484917,0.9941492080688484,0,1.0009483370459855,0,1,0.6209647281884134,0.9293040313847152,0.7229411602020264,6.824696557366101,success,0.8502594828605652,0.19839951395988464,,0,0.48922792077064514,0.32328113586183127,0.7229411602020264,0.10922501236200333
17,Linear,0.11101961633194457,256,2100,8.203125,0.6045172473286947,35.463990167645655,24.503843788289924,4.986658487107294,1.1605228366295046,1.001845698272528,True,4.90851354598999,dense,24.99312850779552,2.845422573072693,0.6909499938516551,layers.0.pos_ff.CoreNet.0,256,4.947856,1.0159202863321308,700.5232809782028,256,10,0,0.6045183534914926,5.014582979085544,1.1670215793699235,0.0017633597556278124,1.0134860825377099,0,1.0033838511149684,0,1,10.898470618740852,1.0005843698011416,4.90851354598999,142.71597183438462,success,2.2155165672302246,1.0939512252807617,under-trained,0,0.04252195358276367,0.9913371017143261,4.90851354598999,4.552317142486572
20,Linear,0.12004974971884486,256,2100,8.203125,1.7296904434443507,10.241556139883883,-2.2554485746259005,0.6108177805860452,0.1421529036372134,1.0017738393213238,True,0.6022472381591797,dense,-1.112872033930837,1.9323031934279542,-0.2202251829526633,layers.0.pos_ff.CoreNet.3,256,0.5994804,1.0142309368708142,85.56638678908348,256,46,0,1.7296913885530483,0.6095011524348037,0.14184649062721572,0.0019896491462952554,1.0167157607355115,0,1.000912455975548,0,1,1.3625931151797799,1.0019923974980163,0.6022472381591797,142.07850425453918,success,0.7760459184646606,0.3774018883705139,under-trained,0,-0.015260398387908936,1.0253390923544186,0.6022472381591797,0.46224039793014526
25,Linear,0.06740718832915238,120,256,2.1333333333333333,2.6847036762529,2.8459665425651366,0.05588384820708227,0.3128545665031886,0.010962215687182673,0.9157035889246158,True,1.046251654624939,dense,0.483457980765818,1.2213885310566457,0.019636157829428607,layers.1.dec_attn.qkv_net,120,0.36528796,0.2990242023706437,16.64901448134333,120,34,9,2.6846980494890755,0.3776597581588936,0.013232946450423135,0.12099790606167805,1.0338686860209847,0,0.9793440569137946,0,1,0.3165806502703297,0.8913681177244295,1.046251654624939,15.913011375175966,success,1.0228644609451294,0.09671102464199066,,0,0.6661374866962433,0.36331045809906914,1.046251654624939,0.1595982164144516
28,Linear,0.08213578516541087,256,1024,4.0,1.2838293889836845,3.2571591726735725,4.408803268566834,1.0108508292825842,0.11231675880917602,0.896117305745563,True,22.572162628173828,dense,4.4236478929708,2.1912253389459853,1.3535731706190945,layers.1.dec_attn.o_net,256,1.3406274,0.044783073998451245,155.31926937401295,256,102,9,1.2838198616626726,1.3726537260022635,0.15251708066691813,0.23568264277759832,1.0238890393075948,0,1.0027515174080783,0,1,0.22349206089300008,0.8605172684875373,22.572162628173828,6.881009672513549,success,4.751017093658447,0.33400386571884155,,0,21.217451691627502,0.06001688712163629,22.572162628173828,0.49981051683425903
30,Linear,0.0747888879042451,40,256,6.4,2.9207336370871757,4.059766198193611,-1.1656350519880447,0.19859186095874073,0.03730247773479342,0.9569752203075726,True,0.51627516746521,dense,-1.093305192630952,0.6710760867050054,-0.28711876376198536,layers.1.dec_attn.r_net,40,0.23058015,0.38466281834507016,4.68895523622632,40,15,2,2.9207343015648943,0.23058016406731824,0.04331099670793222,0.08740283324016751,1.0000000000000007,0,1.0051715516716075,0,1,0.7900282352594824,0.9328457574609545,0.51627516746521,9.08227924121935,success,0.7185229063034058,0.20597009360790253,,0,0.29418349266052246,0.4301808198428477,0.51627516746521,0.12092376500368118
33,Linear,0.12786369639131068,256,2100,8.203125,0.6048710529825818,10.06619477978453,6.976904940337785,4.997713655690082,1.1630956568128563,1.0016017033895874,True,4.9329023361206055,dense,8.141599249191641,2.844914362938716,0.6931025171844656,layers.1.pos_ff.CoreNet.0,256,4.9122615,1.0131385774850847,699.7040101289749,256,43,0,0.6048714290710222,4.9855836340307285,1.1602726908566185,0.0020002817945147244,1.0149263811073304,0,1.001062699199112,0,1,1.3825817422740645,1.002279138660805,4.9329023361206055,141.84428607180675,success,2.2210137844085693,1.070101022720337,under-trained,0,-0.010863304138183594,1.0022022135039321,4.9329023361206055,3.8128037452697754
