,alpha,spectral_norm,D,longname,norm,alphahat
0,2.720886707305908,0.2912018299102783,0.18112096190452576,layers.0.dec_attn.qkv_net,12.206756591796875,-1.4578671516779067
1,3.537778854370117,0.908267617225647,0.15964120626449585,layers.0.dec_attn.o_net,104.92792510986328,-0.14783022716119373
2,4.257900238037109,0.19352801144123077,0.19865477085113525,layers.0.dec_attn.r_net,4.072234153747559,-3.036973598440729
3,4.5356059074401855,1.5210052728652954,0.15004104375839233,layers.0.pos_ff.linear1,214.36651611328125,0.826073167849484
4,4.585999488830566,1.514998435974121,0.14752453565597534,layers.0.pos_ff.linear2,214.98358154296875,0.8273701858485872
5,2.7988061904907227,0.2798522114753723,0.17535701394081116,layers.1.dec_attn.qkv_net,12.361421585083008,-1.5479392573691357
6,3.543971300125122,0.8954939842224121,0.1489766240119934,layers.1.dec_attn.o_net,104.66651916503906,-0.1698885122347534
7,4.2587385177612305,0.18847759068012238,0.20029191672801971,layers.1.dec_attn.r_net,4.100048065185547,-3.0864793392882492
8,4.612748146057129,1.5027137994766235,0.146409809589386,layers.1.pos_ff.linear1,215.00582885742188,0.8158857076035361
9,4.452258110046387,1.5397427082061768,0.1554349660873413,layers.1.pos_ff.linear2,215.14532470703125,0.8345675730719582
10,2.8406152725219727,0.27827370166778564,0.1600428819656372,layers.2.dec_attn.qkv_net,12.231054306030273,-1.578040851972813
11,3.4395437240600586,0.9201131463050842,0.1596965789794922,layers.2.dec_attn.o_net,104.93119812011719,-0.12436965041244073
12,4.197117805480957,0.19415685534477234,0.16142258048057556,layers.2.dec_attn.r_net,4.0617475509643555,-2.9877068544520107
13,4.507268905639648,1.5391870737075806,0.15357059240341187,layers.2.pos_ff.linear1,214.6474609375,0.844172737082678
14,4.585696220397949,1.4919073581695557,0.16081207990646362,layers.2.pos_ff.linear2,214.36810302734375,0.7967273720244223
15,8.495328903198242,5.326895236968994,0.14837771654129028,crit.out_layers.0,1022.730712890625,6.171636892193593
