layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
3,Embedding,0.036792773163575765,256,10000,39.0625,0.22615961034916282,2.42273491839934,6.896047462659978,8.019399520826342,4.205178583453529,0.8613734288096292,True,702.0848388671875,embedding,6.964127352890099,3.699409870841267,2.8463895947873987,word_emb.emb_layers.0,256,26.281145,0.011422265625000004,5005.066715717316,256,78,128,0.226156994419924,26.351773336660447,13.818230727071649,0.3531470232578842,1.0026873499155042,0,1.0008222634651514,0,1,0.1610930073779158,0.5521130127400192,702.0848388671875,7.128863121147838,success,26.496883392333984,1.3947864770889282,,0,675.9785461425781,0.037183957378615136,702.0848388671875,16.39179229736328
9,Linear,0.09769918002434275,120,256,2.1333333333333333,1.6780540043846601,3.0011265264378366,4.051292006648952,0.0559582042694092,0.001960738216242204,0.5442407016624244,True,22.383281707763672,dense,4.05151886106709,1.629569379035029,1.3499237606145185,layers.0.dec_attn.qkv_net,120,1.0000465,0.002500000000000001,42.615675716951955,120,28,47,1.6780495292274757,1.0281328990822762,0.036025092172383096,0.478408745762182,1.0280850967407222,0,1.009994230696434,0,1,0.37817736649493117,0.23562822283537999,22.383281707763672,1.9039065081404327,success,4.731097221374512,0.014140634797513485,,0,21.37721598148346,0.04494719493841053,22.383281707763672,0.36885765194892883
12,Linear,0.08646843527998171,256,1024,4.0,1.1287643258738909,2.460995679095732,4.5581207649271365,0.8129500800764999,0.09032778667516665,0.7003697086542621,True,71.14509582519531,dense,4.568145190688336,2.3030334147776994,1.8521449686583649,layers.0.dec_attn.o_net,256,1.7720884,0.01142664959049225,200.92473988980055,256,150,14,1.1287499065666537,1.7686290570916645,0.19651433967685158,0.4153205430716109,0.998047828674317,0,1.0007482659040723,0,1,0.11928979767318465,0.6784907876283449,71.14509582519531,2.8241544629228694,success,8.434755325317383,0.2834131717681885,,0,69.38443636894226,0.024747446550342996,71.14509582519531,0.2744683027267456
14,Linear,0.1010616549909169,40,256,6.4,2.239859229402589,1.760039128379939,0.9371496764336669,0.08659050247796604,0.016264716364181583,0.5653350652486622,True,3.4076859951019287,dense,1.085917661282555,0.9016185419942467,0.5324595694053028,layers.0.dec_attn.r_net,40,0.41005924,0.025410352539062507,7.972940847277641,40,32,6,2.2398594926297384,0.3849210179674004,0.07230159198400422,0.48704566598416843,0.9386960577545167,0,0.9959642601689848,0,1,0.13435720541114196,0.4723816515752278,3.4076859951019287,2.3396935218613533,success,1.845991849899292,0.08644883334636688,over-trained,0,3.042830854654312,0.1070682982446284,3.4076859951019287,0.017628926783800125
17,Linear,0.13534780630601373,256,2100,8.203125,0.604790060248402,8.091690787042848,5.5877992577844475,4.984622309656505,1.1600489661133704,1.0018049480487337,True,4.904109477996826,dense,6.875294028076953,2.8450306755065795,0.6905601566896427,layers.0.pos_ff.CoreNet.0,256,4.9043975,1.0164174213526256,699.8914296627045,256,60,0,0.6047900543615519,4.980526483858685,1.1590957628038765,0.0018365872948939899,1.0155226658716208,0,1.00042024716989,0,1,0.9155333438223173,1.0008315291932046,4.904109477996826,142.71529475491806,success,2.214522361755371,1.0905187129974365,under-trained,0,-0.04064655303955078,1.0082882637962955,4.904109477996826,3.533222198486328
20,Linear,0.13091693191981457,256,2100,8.203125,1.7314766966610442,18.36957310392425,-4.136348123506881,0.6089942915767463,0.14172853115549933,1.0017140675636453,True,0.595423698425293,dense,-3.2360717870417197,1.931406663497139,-0.2251738840149335,layers.0.pos_ff.CoreNet.3,256,0.61173385,1.0227914898035522,85.38993117213249,256,20,0,1.7314766786706741,0.6087505474188639,0.14167180566241636,0.0018977436654532439,0.9951231479644775,0,1.0013283998869906,0,1,3.883954620052664,1.0015288565368285,0.595423698425293,143.4103671015477,success,0.7716370224952698,0.37604695558547974,under-trained,0,-0.009875893592834473,1.016586329396954,0.595423698425293,0.5223003029823303
25,Linear,0.10761650138828294,120,256,2.1333333333333333,1.818549480234826,3.019980272699398,3.687207172712704,0.04157933235168458,0.0014569121188249404,0.5861139387483622,True,16.631732940673828,dense,3.6878310209562044,1.5597310018313515,1.2209375028191518,layers.1.dec_attn.qkv_net,120,0.8831264,0.0025000000000000005,36.28532370600442,120,34,43,1.8185420694405368,0.8523009947277677,0.02986405932646313,0.46599909941038464,0.9650951775550848,0,0.9965735112594256,0,1,0.34642375878372594,0.2201168896530323,16.631732940673828,2.1816923008225224,success,4.078202247619629,0.014401108026504517,,0,15.809917569160461,0.04941249203825126,16.631732940673828,0.32471147179603577
28,Linear,0.09224257618925347,256,1024,4.0,1.158222665110256,2.131315098171275,3.62701250738716,0.6710575472350234,0.07456194969278038,0.6873970345561483,True,50.32364273071289,dense,3.76362258400394,2.2806558466451934,1.701772070445723,layers.1.dec_attn.o_net,256,1.6622504,0.013334836486816406,190.8340409398079,256,159,17,1.1582126241686737,1.6837600660070375,0.18708445177855973,0.44562278873301936,1.0129400299224858,0,1.001929439963475,0,1,0.08971912325516075,0.6325293512084059,50.32364273071289,3.7921348810335718,success,7.093915939331055,0.18009887635707855,,0,48.65454339981079,0.03316729951036386,50.32364273071289,0.18196259438991547
30,Linear,0.06697543708887155,40,256,6.4,3.0140537020257505,2.010886489368275,0.8401453931269267,0.06719081337441755,0.012620778151641344,0.5287828829975499,True,2.6169686317443848,dense,0.8536320902034316,0.643758019401474,0.417798517006726,layers.1.dec_attn.r_net,40,0.22312373,0.02567505493164065,4.40309463115409,40,21,5,3.014054412109407,0.20860663692687204,0.039183601944852445,0.46839721443463,0.9349369680941106,0,0.9866254519291009,0,1,0.2205935169780139,0.5599420730653517,2.6169686317443848,1.6825171604059819,success,1.6177047491073608,0.07085943967103958,,0,2.392716497182846,0.08569156383508489,2.6169686317443848,0.025835102424025536
33,Linear,0.11069301781970187,256,2100,8.203125,0.6047351093538508,48.656527941130925,33.81918971031386,4.9716489639776205,1.157029737111272,1.0018089831889474,True,4.9551825523376465,dense,34.047755486303565,2.8451095986109363,0.6950596588238145,layers.1.pos_ff.CoreNet.0,256,4.8892484,1.0033230686187748,700.0186305046082,256,7,0,0.6047353371681405,4.993368918809511,1.162084525534851,0.0019062219643826127,1.021295779911041,0,1.001618595721367,0,1,18.012474468719063,0.9994374450751344,4.9551825523376465,141.2699982515011,success,2.2260239124298096,1.0816491842269897,under-trained,0,0.09786510467529297,0.9802499496957737,4.9551825523376465,4.6448140144348145
